,item_id,labels,en,es-CO,de,context,translation_time
557,number-identification-11,math,Choose the 48.,Escoge el 48.,Wähle die  Achtundvierzig.,"number-identification-11
Es-co complete, de still needs review.
Sheet: translation-items-v2",
558,number-identification-12,math,Choose the 91.,Escoge el 91.,Wähle die  91.,"number-identification-12
Es-co complete, de still needs review.
Sheet: translation-items-v2",
559,number-identification-13,math,Choose the 33.,Escoge el 33.,Wähle die  Dreiunddreißig.,"number-identification-13
Es-co complete, de still needs review.
Sheet: translation-items-v2",
560,number-identification-14,math,Choose the 74.,Escoge el 74.,Wähle die  Vierundsiebzig.,"number-identification-14
Es-co complete, de still needs review.
Sheet: translation-items-v2",
561,number-identification-15,math,Choose the 87.,Escoge el 87.,Wähle die  Siebenundachzig.,"number-identification-15
Es-co complete, de still needs review.
Sheet: translation-items-v2",
562,number-identification-16,math,Choose the 65.,Escoge el 65.,Wähle die  65.,"number-identification-16
Es-co complete, de still needs review.
Sheet: translation-items-v2",
563,number-identification-17,math,Choose the 108.,Escoge el 108.,Wähle die  Einhundertacht.,"number-identification-17
Es-co complete, de still needs review.
Sheet: translation-items-v2",
564,number-identification-18,math,Choose the 245.,Escoge el 245.,Wähle die  Zweihundertfünfundvierzig.,"number-identification-18
Es-co complete, de still needs review.
Sheet: translation-items-v2",
565,number-identification-19,math,Choose the 587.,Escoge el 587.,Wähle die  Fünfhundertsiebenundachzig.,"number-identification-19
Es-co complete, de still needs review.
Sheet: translation-items-v2",
566,number-identification-20,math,Choose the 731.,Escoge el 731.,Wähle die  Siebenhunderteinunddreißig.,"number-identification-20
Es-co complete, de still needs review.
Sheet: translation-items-v2",
567,number-identification-21,math,Choose the 989.,Escoge el 989. ,Wähle die  Neunhundertneunundachzig.,"number-identification-21
Es-co complete, de still needs review.
Sheet: translation-items-v2",
568,trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú eliges la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!","trog-instruct1
Es-co complete, de still needs review.
Sheet: translation-items-v2",
569,trog-prompt1,trog,Choose the picture of the...,Escoge la imagen del...,Berühre das Bild mit dem/der/den...,"trog-prompt1
Es-co complete, de still needs review.
Sheet: translation-items-v2",
570,trog-prompt2,trog,Choose the picture of...,Escoge la imagen de...,Berühre das Bild mit...,"trog-prompt2
Es-co complete, de still needs review.
Sheet: translation-items-v2",
571,trog-prompt3,trog,Choose the picture that shows...,Escoge la imagen que muestra...,Berühre das Bild was folgendes zeigt:,"trog-prompt3
Es-co complete, de still needs review.
Sheet: translation-items-v2",
572,trog-item-1,trog,Choose the picture of the shoe.,Escoge la imagen del zapato.,Wähle das Bild mit dem Schuh.,"trog-item-1
Es-co complete, de still needs review.
Sheet: translation-items-v2",
573,trog-item-2,trog,Choose the picture of the bird.,Escoge la imagen del pájaro.,Wähle das Bild mit dem Vogel.,"trog-item-2
Es-co complete, de still needs review.
Sheet: translation-items-v2",
574,trog-item-3,trog,Choose the picture of the comb.,Escoge la imagen del peine.,Wähle das Bild mit dem Kamm.,"trog-item-3
Es-co complete, de still needs review.
Sheet: translation-items-v2",
575,trog-item-4,trog,Choose the picture of the apple.,Escoge la imagen de la manzana.,Wähle das Bild mit dem Apfel.,"trog-item-4
Es-co complete, de still needs review.
Sheet: translation-items-v2",
576,trog-item-5,trog,Choose the picture that shows eating.,Escoge la imagen que muestra comiendo.,"Wähle das Bild aus, das jemanden beim essen zeigt.","trog-item-5
Es-co complete, de still needs review.
Sheet: translation-items-v2",
577,trog-item-6,trog,Choose the picture that shows picking.,Escoge la imagen que muestra recogiendo.,"Wähle das Bild aus, das zeigt, wie jemand etwas pflückt.","trog-item-6
Es-co complete, de still needs review.
Sheet: translation-items-v2",
578,trog-item-7,trog,Choose the picture that shows sitting.,Escoge la imagen que muestra sentado.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.","trog-item-7
Es-co complete, de still needs review.
Sheet: translation-items-v2",
579,trog-item-8,trog,Choose the picture that shows running.,Escoge la imagen que muestra corriendo.,"Wähle das Bild aus, das zeigt, wie jemand rennt.","trog-item-8
Es-co complete, de still needs review.
Sheet: translation-items-v2",
580,trog-item-9,trog,Choose the picture that shows long.,Escoge la imagen que muestra largo.,"Wähle das Bild aus, das etwas Langes zeigt.","trog-item-9
Es-co complete, de still needs review.
Sheet: translation-items-v2",
581,trog-item-10,trog,Choose the picture that shows tall.,Escoge la imagen que muestra alto.,"Wähle das Bild aus, das etwas Großes zeigt.","trog-item-10
Es-co complete, de still needs review.
Sheet: translation-items-v2",
582,trog-item-11,trog,Choose the picture that shows red.,Escoge la imagen que muestra el rojo.,"Wähle das Bild aus, das etwas Rotes zeigt.","trog-item-11
Es-co complete, de still needs review.
Sheet: translation-items-v2",
583,trog-item-12,trog,Choose the picture that shows black.,Escoge la imagen que muestra el negro.,"Wähle das Bild aus, das etwas Schwarzes zeigt.","trog-item-12
Es-co complete, de still needs review.
Sheet: translation-items-v2",
584,trog-item-13,trog,the boy is running,el niño está corriendo,der Junge rennt.,"trog-item-13
Es-co complete, de still needs review.
Sheet: translation-items-v2",
585,trog-item-14,trog,the big cup,la taza grande,die große Tasse.,"trog-item-14
Es-co complete, de still needs review.
Sheet: translation-items-v2",
586,trog-item-15,trog,the dog is sitting,el perro está sentado,der Hund sitzt.,"trog-item-15
Es-co complete, de still needs review.
Sheet: translation-items-v2",
587,trog-item-16,trog,the red ball,la pelota roja,der rote Ball.,"trog-item-16
Es-co complete, de still needs review.
Sheet: translation-items-v2",
588,trog-item-17,trog,the boy is not running,el niño no está corriendo,der Junge rennt nicht.,"trog-item-17
Es-co complete, de still needs review.
Sheet: translation-items-v2",
589,trog-item-18,trog,the dog is not drinking,el perro no está bebiendo,der Hund trinkt nicht.,"trog-item-18
Es-co complete, de still needs review.
Sheet: translation-items-v2",
590,trog-item-19,trog,the girl is not jumping,la niña no está saltando,das Mädchen hüpft nicht.,"trog-item-19
Es-co complete, de still needs review.
Sheet: translation-items-v2",
591,trog-item-20,trog,the dog is not sitting,el perro no está sentado,der Hund sitzt nicht.,"trog-item-20
Es-co complete, de still needs review.
Sheet: translation-items-v2",
592,trog-item-21,trog,the boy is jumping over the box,el niño salta por encima de la caja,der Junge springt über den Kasten. ,"trog-item-21
Es-co complete, de still needs review.
Sheet: translation-items-v2",
593,trog-item-22,trog,the girl is sitting on the table,la niña está sentada encima de la mesa,das Mädchen sitzt auf dem Tisch.,"trog-item-22
Es-co complete, de still needs review.
Sheet: translation-items-v2",
594,trog-item-23,trog,the man is eating the apple,el hombre se está comiendo una manzana,Der Mann isst einen Apfel.,"trog-item-23
Es-co complete, de still needs review.
Sheet: translation-items-v2",
595,trog-item-24,trog,the lady is carrying the bag,la señora está llevando la bolsa,die Frau trägt eine Tasche.,"trog-item-24
Es-co complete, de still needs review.
Sheet: translation-items-v2",
596,trog-item-25,trog,they are sitting on the table,están sentadas encima de la mesa,sie sitzen auf dem Tisch.,"trog-item-25
Es-co complete, de still needs review.
Sheet: translation-items-v2",
597,trog-item-26,trog,the cow is looking at them,la vaca está mirándolas,Die Kuh sieht die Frauen an.,"trog-item-26
Es-co complete, de still needs review.
Sheet: translation-items-v2",
598,trog-item-27,trog,they are jumping over the wall,están saltando por encima de la pared,sie springen über die Mauer.,"trog-item-27
Es-co complete, de still needs review.
Sheet: translation-items-v2",
599,trog-item-28,trog,the elephant is carrying them,el elefante está llevandolos,der Elefant trägt sie,"trog-item-28
Es-co complete, de still needs review.
Sheet: translation-items-v2",
600,trog-item-29,trog,the girl is pushing the horse,la niña está empujando al caballo,das Mädchen schiebt das Pferd,"trog-item-29
Es-co complete, de still needs review.
Sheet: translation-items-v2",
601,trog-item-30,trog,the boy is chasing the sheep,el niño persigue a la oveja,der Junge jagt das Schaf,"trog-item-30
Es-co complete, de still needs review.
Sheet: translation-items-v2",
602,trog-item-31,trog,the man is chasing the dog,el hombre persigue al perro,der Mann jagt den Hund,"trog-item-31
Es-co complete, de still needs review.
Sheet: translation-items-v2",
603,trog-item-32,trog,the cow is pushing the lady,la vaca está empujando a la señora,die Kuh schiebt die Dame,"trog-item-32
Es-co complete, de still needs review.
Sheet: translation-items-v2",
604,trog-item-33,trog,she is sitting on the chair,ella está sentada en la silla,sie sitzt auf dem Stuhl.,"trog-item-33
Es-co complete, de still needs review.
Sheet: translation-items-v2",
605,trog-item-34,trog,the lady is carrying him,la señora lo está cargando,die Dame trägt ihn,"trog-item-34
Es-co complete, de still needs review.
Sheet: translation-items-v2",
606,trog-item-35,trog,he is sitting in the tree,él está sentado en el árbol,er sitzt auf dem Baum,"trog-item-35
Es-co complete, de still needs review.
Sheet: translation-items-v2",
607,trog-item-36,trog,the horse is looking at her,el caballo la está mirando,das Pferd sieht sie an,"trog-item-36
Es-co complete, de still needs review.
Sheet: translation-items-v2",
608,trog-item-37,trog,the cats look at the ball,los gatos miran la pelota,die Katzen schauen auf den Ball,"trog-item-37
Es-co complete, de still needs review.
Sheet: translation-items-v2",
609,trog-item-38,trog,the boy stands on the chairs,el niño se para encima de las sillas,der Junge steht auf den Stühlen,"trog-item-38
Es-co complete, de still needs review.
Sheet: translation-items-v2",
610,trog-item-39,trog,the boys pick the apples,los niños recogen las manzanas,die Jungen pflücken die Äpfel,"trog-item-39
Es-co complete, de still needs review.
Sheet: translation-items-v2",
611,trog-item-40,trog,the girl drops the cups,la niña deja caer las tazas,das Mädchen lässt die Tassen fallen,"trog-item-40
Es-co complete, de still needs review.
Sheet: translation-items-v2",
612,trog-item-41,trog,the fork is longer than the pencil,el tenedor es más largo que el lápiz,die Gabel ist länger als der Bleistift,"trog-item-41
Es-co complete, de still needs review.
Sheet: translation-items-v2",
613,trog-item-42,trog,the box is bigger than the cup,la caja es más grande que la taza,die Schachtel ist größer als die Tasse,"trog-item-42
Es-co complete, de still needs review.
Sheet: translation-items-v2",
614,trog-item-43,trog,the shoe is bigger than the bird,el zapato es más grande que el pájaro,der Schuh ist größer als der Vogel,"trog-item-43
Es-co complete, de still needs review.
Sheet: translation-items-v2",
615,trog-item-44,trog,the horse is taller than the wall,el caballo es más alto que la pared,das Pferd ist größer als die Mauer,"trog-item-44
Es-co complete, de still needs review.
Sheet: translation-items-v2",
616,trog-item-45,trog,the girl is chased by the horse,la niña es perseguida por el caballo,das Mädchen wird vom Pferd gejagt,"trog-item-45
Es-co complete, de still needs review.
Sheet: translation-items-v2",
617,trog-item-46,trog,the elephant is pushed by the boy,el elefante es empujado por el niño,der Elefant wird von dem Jungen geschoben,"trog-item-46
Es-co complete, de still needs review.
Sheet: translation-items-v2",
618,trog-item-47,trog,the horse is chased by the man,el caballo es perseguido por el hombre,das Pferd wird von dem Mann gejagt,"trog-item-47
Es-co complete, de still needs review.
Sheet: translation-items-v2",
619,trog-item-48,trog,the cow is pushed by the man,la vaca es empujada por el hombre,die Kuh wird von dem Mann geschoben,"trog-item-48
Es-co complete, de still needs review.
Sheet: translation-items-v2",
620,trog-item-49,trog,the cup is in the box,la taza está en la caja,die Tasse ist in der Schachtel,"trog-item-49
Es-co complete, de still needs review.
Sheet: translation-items-v2",
621,trog-item-50,trog,the pencil is on the box,el lápiz está encima de la caja,der Bleistift ist auf der Schachtel,"trog-item-50
Es-co complete, de still needs review.
Sheet: translation-items-v2",
622,trog-item-51,trog,the circle is in the star,el círculo está en la estrella,der Kreis ist im Stern,"trog-item-51
Es-co complete, de still needs review.
Sheet: translation-items-v2",
623,trog-item-52,trog,the fork is on the shoe,el tenedor está encima del zapato,die Gabel ist auf dem Schuh,"trog-item-52
Es-co complete, de still needs review.
Sheet: translation-items-v2",
624,trog-item-53,trog,the boy chasing the horse is tall,el niño que persigue al caballo es alto,"der Junge, der das Pferd jagt, ist groß","trog-item-53
Es-co complete, de still needs review.
Sheet: translation-items-v2",
625,trog-item-54,trog,the pencil on the shoe is blue,el lápiz encima del zapato es azul,der Bleistift auf dem Schuh ist blau,"trog-item-54
Es-co complete, de still needs review.
Sheet: translation-items-v2",
626,trog-item-55,trog,the cow chasing the cat is brown,la vaca que persigue al gato es marrón,"die Kuh, die die Katze jagt, ist braun","trog-item-55
Es-co complete, de still needs review.
Sheet: translation-items-v2",
627,trog-item-56,trog,the circle in the star is yellow,el círculo en la estrella es amarillo,der Kreis im Stern ist gelb,"trog-item-56
Es-co complete, de still needs review.
Sheet: translation-items-v2",
628,trog-item-57,trog,the box but not the chair is red,"la caja es roja, pero no la silla","die Schachtel, aber nicht der Stuhl ist rot","trog-item-57
Es-co complete, de still needs review.
Sheet: translation-items-v2",
629,trog-item-58,trog,the cat is big but not black,el gato es grande pero no negro,"die Katze ist groß, aber nicht schwarz","trog-item-58
Es-co complete, de still needs review.
Sheet: translation-items-v2",
630,trog-item-59,trog,the horse but not the boy is standing,"el caballo está parado, pero no el niño","das Pferd, aber nicht der Junge, steht","trog-item-59
Es-co complete, de still needs review.
Sheet: translation-items-v2",
631,trog-item-60,trog,the boy is sitting but not eating,"el niño está sentado, pero no está comiendo","der Junge sitzt, aber er isst nichts","trog-item-60
Es-co complete, de still needs review.
Sheet: translation-items-v2",
632,trog-item-61,trog,the pencil is above the flower,el lápiz está arriba de la flor,der Bleistift ist über der Blume,"trog-item-61
Es-co complete, de still needs review.
Sheet: translation-items-v2",
633,trog-item-62,trog,the comb is below the spoon,el peine está debajo de la cuchara,der Kamm ist unter dem Löffel,"trog-item-62
Es-co complete, de still needs review.
Sheet: translation-items-v2",
634,trog-item-63,trog,the star is above the circle,la estrella está arriba del círculo,der Stern ist über dem Kreis,"trog-item-63
Es-co complete, de still needs review.
Sheet: translation-items-v2",
635,trog-item-64,trog,the square is below the star,el cuadrado está debajo de la estrella,das Quadrat ist unter dem Stern,"trog-item-64
Es-co complete, de still needs review.
Sheet: translation-items-v2",
636,trog-item-65,trog,not only the bird but also the flower is blue,"no sólo el pájaro, también la flor es azul.","nicht nur der Vogel, sondern auch die Blume ist blau","trog-item-65
Es-co complete, de still needs review.
Sheet: translation-items-v2",
637,trog-item-66,trog,the box is not only big but also blue,"la caja no sólo es grande, sino también azul","die Box ist nicht nur groß, sondern auch blau","trog-item-66
Es-co complete, de still needs review.
Sheet: translation-items-v2",
638,trog-item-67,trog,not only the girl but also the cat is sitting,"no sólo la niña, también el gato está sentado.","nicht nur das Mädchen, sondern auch die Katze sitzt","trog-item-67
Es-co complete, de still needs review.
Sheet: translation-items-v2",
639,trog-item-68,trog,the girl has not only food but also a drink,"la niña no solo tiene comida, sino también bebida","das Mädchen hat nicht nur Essen, sondern auch ein Getränk","trog-item-68
Es-co complete, de still needs review.
Sheet: translation-items-v2",
640,trog-item-69,trog,the pencil is on the book that is yellow,el lápiz está encima del libro que es amarillo,"der Bleistift ist auf dem Buch, das gelb ist","trog-item-69
Es-co complete, de still needs review.
Sheet: translation-items-v2",
641,trog-item-70,trog,the girl chases the dog that is big,la niña persigue al perro que es grande,"das Mädchen jagt den Hund, der groß ist","trog-item-70
Es-co complete, de still needs review.
Sheet: translation-items-v2",
642,trog-item-71,trog,the square is in the star that is blue,el cuadrado está en la estrella que es azul,"das Quadrat ist in dem Stern, der blau ist","trog-item-71
Es-co complete, de still needs review.
Sheet: translation-items-v2",
643,trog-item-72,trog,the dog chases the horse that is brown,el perro persigue al caballo que es marrón,"der Hund jagt das Pferd, das braun ist","trog-item-72
Es-co complete, de still needs review.
Sheet: translation-items-v2",
644,trog-item-73,trog,neither the dog nor the ball is brown,ni el perro ni la pelota son marrones,weder der Hund noch der Ball sind braun,"trog-item-73
Es-co complete, de still needs review.
Sheet: translation-items-v2",
645,trog-item-74,trog,the pencil is neither long nor red,el lápiz no es largo ni rojo,der Bleistift ist weder lang noch rot,"trog-item-74
Es-co complete, de still needs review.
Sheet: translation-items-v2",
646,trog-item-75,trog,neither the boy nor the horse is running,ni el niño ni el caballo están corriendo,weder der Junge noch das Pferd rennt,"trog-item-75
Es-co complete, de still needs review.
Sheet: translation-items-v2",
647,trog-item-76,trog,the boy has neither hat nor shoes,el niño no tiene ni sombrero ni zapatos,der Junge hat weder Hut noch Schuhe,"trog-item-76
Es-co complete, de still needs review.
Sheet: translation-items-v2",
648,trog-item-77,trog,the book the pencil is on is red,el libro que el lapiz esta encima de es rojo,"das Buch, auf dem der Bleistift liegt, ist rot","trog-item-77
Es-co complete, de still needs review.
Sheet: translation-items-v2",
649,trog-item-78,trog,the cat the cow chases is black,el gato que la vaca persigue es negro,"die Katze, die die Kuh jagt, ist schwarz","trog-item-78
Es-co complete, de still needs review.
Sheet: translation-items-v2",
650,trog-item-79,trog,the circle the star is in is red,"el círculo, en el que está la estrella, es rojo","der Kreis, in dem sich der Stern befindet, ist rot","trog-item-79
Es-co complete, de still needs review.
Sheet: translation-items-v2",
651,trog-item-80,trog,the boy the dog chases is big,el niño que el perro persigue es grande,"der Junge, den der Hund jagt, ist groß","trog-item-80
Es-co complete, de still needs review.
Sheet: translation-items-v2",
652,trog-item-81,trog,the horse drank water by the barn and the sheep ate grass by the fence,"el caballo bebía agua junto al granero, y la oveja comía pasto junto a la cerca",Das Pferd trank Wasser bei der Scheune und das Schaf fraß Gras am Zaun.,"trog-item-81
Es-co complete, de still needs review.
Sheet: translation-items-v2",
653,trog-item-82,trog,the student opened the notebook and drew a tree,el estudiante abrió el cuaderno y dibujó un árbol,der Schüler öffnete das Heft und zeichnete einen Baum,"trog-item-82
Es-co complete, de still needs review.
Sheet: translation-items-v2",
654,trog-item-83,trog,we will have a picnic in the park if it is sunny,haremos un picnic en el parque si hace sol,"Wenn es sonnig ist, werden wir im Park ein Picknick machen.","trog-item-83
Es-co complete, de still needs review.
Sheet: translation-items-v2",
655,trog-item-84,trog,he found his keys under the couch with the pillows,encontró sus llaves debajo del sofá con cojines,er fand seine Schlüssel unter der Couch mit den Kissen,"trog-item-84
Es-co complete, de still needs review.
Sheet: translation-items-v2",
656,trog-item-85,trog,she is the gardener who wears the hat that has a flower,ella es la jardinera que usa un sombrero que tiene una flor,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt","trog-item-85
Es-co complete, de still needs review.
Sheet: translation-items-v2",
657,trog-item-86,trog,She tripped on a rock and dropped her books.,Ella tropezó con una piedra y dejo caer sus libros.,Sie stolperte über einen Stein und ließ ihre Bücher fallen.,"trog-item-86
Es-co complete, de still needs review.
Sheet: translation-items-v2",
658,trog-item-87,trog,The teacher will give the students cake if they stand in a line.,"La maestra dará pastel a los estudiantes, si se ponen en fila.","Die Lehrerin gibt den Schülern Kuchen, wenn sie in einer Reihe stehen.","trog-item-87
Es-co complete, de still needs review.
Sheet: translation-items-v2",
659,trog-item-88,trog,We will dance together if there is music playing.,Bailaremos juntos si hay música sonando.,"Wir tanzen zusammen, wenn Musik läuft.","trog-item-88
Es-co complete, de still needs review.
Sheet: translation-items-v2",
660,trog-item-89,trog,"Although it is hot outside, I am wearing a jacket with a hood.","Aunque hace calor afuera, estoy usando una chaqueta con capucha.","Obwohl es draußen heiß ist, trage ich eine Jacke mit Kapuze.","trog-item-89
Es-co complete, de still needs review.
Sheet: translation-items-v2",
661,trog-item-90,trog,"He likes swimming. However, he chose to play soccer with his friends.","Le gusta nadar. Sin embargo, elijió jugar fútbol con sus amigos.","Er schwimmt gerne, aber er hat sich entschieden, mit seinen Freunden Fußball zu spielen.","trog-item-90
Es-co complete, de still needs review.
Sheet: translation-items-v2",
662,trog-item-91,trog,"Despite the noise in the classroom, she focused on reading her notebook.","A pesar del ruido en el salón, ella se concentró en leer su cuaderno.",Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes.,"trog-item-91
Es-co complete, de still needs review.
Sheet: translation-items-v2",
663,trog-item-92,trog,He wore the clown's hat despite its large size.,Él usó el sombrero de payaso a pesar de su gran tamaño.,"Er trug die Mütze vom Clown, obwohl sie so groß ist.","trog-item-92
Es-co complete, de still needs review.
Sheet: translation-items-v2",
664,trog-item-93,trog,The duck following the turtle is walking across the bridge.,El pato que sigue a la tortuga está caminando por el puente.,"Die Ente, die der Schildkröte folgt, geht über die Brücke.","trog-item-93
Es-co complete, de still needs review.
Sheet: translation-items-v2",
665,trog-item-94,trog,Bumping the table with my foot caused a book to fall.,Al golpear la mesa con mi pié hizo que se cayera un libro,Beim Anstoßen des Tisches mit meinem Fuß ist ein Buch heruntergefallen.,"trog-item-94
Es-co complete, de still needs review.
Sheet: translation-items-v2",
666,trog-item-95,trog,The person chases the dog that is big.,La persona persigue al perro que es grande.,"Die Person jagt den Hund, der groß ist.","trog-item-95
Es-co complete, de still needs review.
Sheet: translation-items-v2",
667,trog-item-96,trog,The girl wearing a backpack was shown a flower by her friend.,A la niña que llevaba el morral su amiga le mostró una flor.,"Dem Mädchen, das einen Rucksack trägt, wurde von seiner Freundin eine Blume gezeigt.","trog-item-96
Final es-co & de translation review complete
Sheet: translation-items-v2",
668,trog-item-97,trog,"The kids cleaned the room, but forgot to put away the train.","Los niños limpiaron la habitación, pero olvidaron guardar el tren.","Die Kinder haben das Zimmer aufgeräumt, aber haben vergessen, die Eisenbahn wegzustellen.","trog-item-97
Es-co complete, de still needs review.
Sheet: translation-items-v2",
669,trog-item-98,trog,The monkey neither ate the banana nor swung on the vine.,El mono no se comió el plátano ni se columpió en la liana.,Der Affe hat weder die Banane gegessen noch sich an der Liane geschwungen.,"trog-item-98
Final es-co & de translation review complete
Sheet: translation-items-v2",
670,trog-item-99,trog,"Her mom said it would be sunny. However, it rained heavily.","Su madre dijo que haría sol. Sin embargo, llovió a cántaros.","Ihre Mutter sagte, es würde sonnig sein. Aber es regnete stark.","trog-item-99
Es-co complete, de still needs review.
Sheet: translation-items-v2",
671,trog-item-100,trog,The plane that is gray is above the clouds.,El avión que es gris está por arriba de las nubes.,"Das Flugzeug, das grau ist, befindet sich über den Wolken.","trog-item-100
Es-co complete, de still needs review.
Sheet: translation-items-v2",
672,trog-item-101,trog,The fish swim beneath a whale and a sea turtle.,Los peces nadan debajo de una ballena y una tortuga marina.,Die Fische schwimmen unter einem Wal und einer Meeresschildkröte.,"trog-item-101
Es-co complete, de still needs review.
Sheet: translation-items-v2",
673,trog-item-102,trog,The car that the truck followed is driving toward the tunnel.,El coche al que siguió el camión se dirige hacia el túnel.,"Das Auto, das dem der Lastwagen gefolgt ist, fährt auf den Tunnel zu.","trog-item-102
Es-co complete, de still needs review.
Sheet: translation-items-v2",
674,trog-item-103,trog,Instead of doing homework she did a puzzle in her room.,"En vez de hacer las tareas, ella hizo un rompecabezas en su habitación. ","Anstatt Hausaufgaben zu machen, hat sie in ihrem Zimmer ein Puzzle gemacht.","trog-item-103
Es-co complete, de still needs review.
Sheet: translation-items-v2",
675,yes,theory-of-mind,yes,sí,ja,"yes

Sheet: translation-items-v2",
676,no,theory-of-mind,no,no,nein,"no

Sheet: translation-items-v2",
677,happy,theory-of-mind,happy,feliz,glücklich,"happy

Sheet: translation-items-v2",
678,sad,theory-of-mind,sad,triste,traurig,"sad

Sheet: translation-items-v2",
679,angry,theory-of-mind,angry,enojado,wütend,"angry

Sheet: translation-items-v2",
680,scared,theory-of-mind,scared,asustado,ängstlich,"scared

Sheet: translation-items-v2",
681,calm,theory-of-mind,calm,tranquilo,ruhig,"calm

Sheet: translation-items-v2",
682,proud,theory-of-mind,proud,orgulloso,stolz,"proud

Sheet: translation-items-v2",
683,disgusted,theory-of-mind,disgusted,asqueado,angeekelt,"disgusted

Sheet: translation-items-v2",
684,surprised,theory-of-mind,surprised,sorprendido,überrascht,"surprised

Sheet: translation-items-v2",
685,ToM-intro,theory-of-mind,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",Este es el Juego de las historias. En este juego vas a escuchar algunas historias y luego vas a responder preguntas sobre esas historias.,Das ist das Geschichten-Spiel. In diesem Spiel wirst du Geschichten hören und dann kannst du ein paar Fragen dazu beantworten.,"ToM-intro

Sheet: translation-items-v2",
686,ToM-transition,theory-of-mind,Nice work! Here is a new story.,¡Bien hecho! Ahora vamos con una nueva historia.,Sehr gut! Hier ist eine neue Geschichte.,"ToM-transition

Sheet: translation-items-v2",
687,ToM-scene1-instruct1,theory-of-mind,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Esta es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara.","Das ist Laura. Heute Morgen hat Laura ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. ","ToM-scene1-instruct1
Final es-co & de translation review complete
Sheet: translation-items-v2",
688,ToM-scene1-instruct2,theory-of-mind,"But when Madison was outside playing, someone did find it! And hid it under the rug. ","Pero cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.","Aber als Laura draußen gespielt hat, hat es jemand gefunden und unter dem Teppich versteckt. ","ToM-scene1-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2",
689,ToM-scene1-instruct3,theory-of-mind,So now it’s reading time and Madison wants her book.,"Ahora, es el momento de leer y Marisol quiere su libro.",Jetzt möchte Laura aber gern ihr Buch weiterlesen.,"ToM-scene1-instruct3
Final es-co & de translation review complete
Sheet: translation-items-v2",
690,ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book?,¿Dónde buscará Marisol su libro primero?,Wo wird Laura zuerst nach ihrem Buch suchen? ,"ToM-scene1-q1-false_belief
Final es-co & de translation review complete
Sheet: translation-items-v2",
691,chair,theory-of-mind,Behind the chair,Detrás de la silla,Hinter dem Stuhl,"chair
Final es-co & de translation review complete
Sheet: translation-items-v2",
692,rug,theory-of-mind,Under the rug,Debajo de la alfombra,Unter dem Teppich,"rug
Final es-co & de translation review complete
Sheet: translation-items-v2",
693,ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really?,¿Y dónde está realmente su libro?,Und wo ist ihr Buch wirklich?,"ToM-scene1-q2-reality_check
Final es-co & de translation review complete
Sheet: translation-items-v2",
694,ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.","Heute Morgen, als er in die Schule kam, hat Justus sein Buch auf die Garderobe über den Mänteln gelegt. Das Buch von Justus ist blau! ","ToM-scene2-instruct1
Final es-co & de translation review complete
Sheet: translation-items-v2",
695,ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Justus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Justus von der Garderobe auf den Boden unter die Mäntel, siehst du? ","ToM-scene2-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2",
